Date,stock market,S&P 500,invest stocks,market crash,bull market
2018-03-12,79,77,78,66,51
2018-03-19,79,38,75,24,53
2018-03-26,79,77,70,39,47
2018-04-02,64,51,26,30,79
2018-04-09,60,20,22,61,34
2018-04-16,48,75,66,21,49
2018-04-23,34,24,42,22,56
2018-04-30,64,64,65,42,48
2018-05-07,20,23,62,74,41
2018-05-14,44,35,66,31,23
2018-05-21,26,43,79,39,39
2018-05-28,28,35,64,24,51
2018-06-04,43,74,37,56,55
2018-06-11,20,21,77,57,69
2018-06-18,63,68,57,49,23
2018-06-25,27,47,54,28,46
2018-07-02,43,51,70,53,36
2018-07-09,30,46,34,72,31
2018-07-16,70,39,44,63,41
2018-07-23,36,43,74,54,36
2018-07-30,27,31,56,71,29
2018-08-06,54,69,47,77,73
2018-08-13,54,54,29,41,20
2018-08-20,52,79,58,63,41
2018-08-27,78,52,76,43,45
2018-09-03,24,52,36,36,75
2018-09-10,61,70,58,29,78
2018-09-17,58,62,41,49,37
2018-09-24,77,56,45,75,69
2018-10-01,60,31,63,78,33
2018-10-08,47,22,44,65,66
2018-10-15,26,20,36,42,48
2018-10-22,28,52,32,51,31
2018-10-29,27,59,39,36,55
2018-11-05,31,29,44,69,78
2018-11-12,53,62,23,70,54
2018-11-19,52,63,29,36,71
2018-11-26,67,48,22,33,31
2018-12-03,74,32,60,28,26
2018-12-10,42,31,64,59,48
2018-12-17,43,50,37,21,30
2018-12-24,56,65,66,64,52
2018-12-31,54,21,55,44,25
2019-01-07,63,70,66,58,66
2019-01-14,59,69,41,28,34
2019-01-21,41,54,53,73,51
2019-01-28,46,42,66,41,70
2019-02-04,54,36,27,62,30
2019-02-11,20,45,59,65,77
2019-02-18,54,27,68,23,42
2019-02-25,56,48,63,45,45
2019-03-04,66,45,38,77,53
2019-03-11,33,29,61,48,65
2019-03-18,22,45,60,64,53
2019-03-25,20,53,56,53,48
2019-04-01,24,70,25,42,23
2019-04-08,45,60,71,56,36
2019-04-15,74,26,45,30,54
2019-04-22,33,23,53,25,32
2019-04-29,58,77,78,37,60
2019-05-06,46,72,75,40,58
2019-05-13,28,69,78,61,34
2019-05-20,34,64,64,55,74
2019-05-27,34,30,25,60,48
2019-06-03,45,48,56,57,48
2019-06-10,61,75,76,53,30
2019-06-17,79,55,52,36,71
2019-06-24,32,44,72,56,51
2019-07-01,70,40,41,44,21
2019-07-08,51,76,40,57,66
2019-07-15,58,55,25,77,33
2019-07-22,68,29,25,31,39
2019-07-29,71,56,74,42,41
2019-08-05,51,28,67,72,30
2019-08-12,23,43,23,61,46
2019-08-19,49,54,49,41,22
2019-08-26,56,68,30,40,36
2019-09-02,42,54,49,46,63
2019-09-09,58,67,50,76,75
2019-09-16,64,55,43,50,47
2019-09-23,34,37,74,25,48
2019-09-30,62,68,28,46,40
2019-10-07,48,58,74,59,66
2019-10-14,55,51,22,53,35
2019-10-21,32,43,70,31,56
2019-10-28,51,42,50,64,78
2019-11-04,26,51,59,76,39
2019-11-11,78,56,56,72,25
2019-11-18,70,31,55,26,38
2019-11-25,41,68,43,29,76
2019-12-02,47,74,50,64,24
2019-12-09,21,32,25,36,22
2019-12-16,61,42,21,45,78
2019-12-23,64,44,39,40,20
2019-12-30,76,54,47,47,77
2020-01-06,72,60,30,77,79
2020-01-13,25,49,23,65,57
2020-01-20,47,36,34,21,34
2020-01-27,47,68,25,79,53
2020-02-03,63,39,73,73,54
2020-02-10,63,67,68,62,68
2020-02-17,39,44,49,20,44
2020-02-24,49,41,75,70,43
2020-03-02,30,32,57,72,31
2020-03-09,77,78,70,55,37
2020-03-16,74,38,76,70,34
2020-03-23,47,68,21,45,63
2020-03-30,44,55,34,48,35
2020-04-06,58,31,30,40,46
2020-04-13,52,60,27,30,27
2020-04-20,20,38,45,59,79
2020-04-27,76,31,70,30,65
2020-05-04,46,28,64,55,44
2020-05-11,76,26,63,68,36
2020-05-18,71,47,24,78,48
2020-05-25,32,33,25,58,72
2020-06-01,60,50,45,59,27
2020-06-08,22,71,73,54,34
2020-06-15,58,38,23,73,46
2020-06-22,25,77,38,53,65
2020-06-29,27,66,39,74,69
2020-07-06,46,35,52,66,71
2020-07-13,28,72,39,43,26
2020-07-20,56,24,68,73,22
2020-07-27,52,54,31,41,48
2020-08-03,70,31,66,24,63
2020-08-10,61,44,20,75,72
2020-08-17,63,71,45,52,43
2020-08-24,43,78,33,77,79
2020-08-31,34,40,57,55,77
2020-09-07,78,55,56,66,22
2020-09-14,73,72,30,39,39
2020-09-21,51,42,55,38,65
2020-09-28,51,35,32,54,34
2020-10-05,43,76,62,71,44
2020-10-12,60,58,22,62,49
2020-10-19,71,64,52,36,33
2020-10-26,68,72,25,78,26
2020-11-02,68,61,69,64,36
2020-11-09,77,77,75,62,63
2020-11-16,71,58,29,53,39
2020-11-23,31,33,24,28,55
2020-11-30,58,50,42,45,28
2020-12-07,21,77,29,21,57
2020-12-14,22,24,63,72,67
2020-12-21,68,54,21,28,76
2020-12-28,56,42,32,28,79
2021-01-04,68,48,59,59,41
2021-01-11,75,62,21,36,73
2021-01-18,36,30,39,20,72
2021-01-25,78,37,20,44,72
2021-02-01,68,66,56,62,21
2021-02-08,21,31,28,59,43
2021-02-15,21,28,36,61,27
2021-02-22,47,29,28,44,30
2021-03-01,73,77,30,58,32
2021-03-08,42,63,34,54,36
2021-03-15,56,36,43,22,27
2021-03-22,51,57,57,69,40
2021-03-29,52,26,74,56,37
2021-04-05,20,65,54,63,49
2021-04-12,38,32,49,63,37
2021-04-19,21,59,50,70,65
2021-04-26,72,61,68,49,66
2021-05-03,63,28,24,57,50
2021-05-10,45,69,79,53,57
2021-05-17,51,46,63,31,51
2021-05-24,25,77,69,38,30
2021-05-31,51,21,33,56,64
2021-06-07,74,24,72,63,44
2021-06-14,23,48,75,78,52
2021-06-21,74,56,30,78,79
2021-06-28,30,57,28,68,57
2021-07-05,75,38,53,36,60
2021-07-12,78,27,31,29,27
2021-07-19,36,67,54,76,30
2021-07-26,57,64,54,74,41
2021-08-02,43,20,20,68,70
2021-08-09,24,41,59,66,43
2021-08-16,71,71,41,31,60
2021-08-23,53,36,79,35,36
2021-08-30,25,26,48,43,31
2021-09-06,41,44,27,38,76
2021-09-13,30,64,30,27,65
2021-09-20,67,23,60,50,51
2021-09-27,35,55,56,40,34
2021-10-04,52,25,33,36,35
2021-10-11,28,79,79,42,73
2021-10-18,79,50,49,56,41
2021-10-25,78,38,54,73,47
2021-11-01,25,63,40,35,39
2021-11-08,35,73,56,25,52
2021-11-15,48,58,24,27,29
2021-11-22,22,46,38,44,59
2021-11-29,39,29,78,37,51
2021-12-06,79,45,33,44,69
2021-12-13,78,38,45,31,79
2021-12-20,55,58,23,34,52
2021-12-27,38,22,44,78,21
2022-01-03,45,64,64,45,52
2022-01-10,22,32,61,60,52
2022-01-17,38,69,44,64,60
2022-01-24,39,47,37,45,32
2022-01-31,51,77,59,66,49
2022-02-07,26,39,27,51,52
2022-02-14,71,47,58,29,32
2022-02-21,60,27,59,35,71
2022-02-28,52,60,33,26,45
2022-03-07,59,58,51,36,41
2022-03-14,58,20,70,42,58
2022-03-21,37,22,57,45,21
2022-03-28,59,32,52,40,57
2022-04-04,20,47,42,41,58
2022-04-11,30,76,34,77,45
2022-04-18,47,79,52,26,65
2022-04-25,76,68,44,33,77
2022-05-02,44,44,36,34,69
2022-05-09,69,75,52,72,34
2022-05-16,42,52,66,26,53
2022-05-23,50,57,74,28,61
2022-05-30,49,72,21,70,74
2022-06-06,61,25,33,67,63
2022-06-13,54,77,72,27,68
2022-06-20,26,63,59,69,59
2022-06-27,79,64,59,78,30
2022-07-04,35,51,70,42,22
2022-07-11,45,64,58,48,78
2022-07-18,67,66,70,37,25
2022-07-25,76,40,25,50,28
2022-08-01,71,35,25,49,25
2022-08-08,79,73,22,71,28
2022-08-15,68,40,26,58,58
2022-08-22,21,30,70,54,50
2022-08-29,20,79,27,37,51
2022-09-05,67,56,61,78,60
2022-09-12,31,55,71,61,69
2022-09-19,24,54,34,58,31
2022-09-26,56,38,66,36,27
2022-10-03,51,39,48,33,27
2022-10-10,78,76,52,50,69
2022-10-17,74,37,71,43,47
2022-10-24,28,66,49,54,39
2022-10-31,60,60,58,63,66
2022-11-07,54,68,46,79,78
2022-11-14,38,33,55,64,26
2022-11-21,67,34,48,53,30
2022-11-28,35,50,57,22,39
2022-12-05,22,20,76,56,35
2022-12-12,39,72,52,62,23
2022-12-19,43,73,56,59,25
2022-12-26,73,73,46,45,77
2023-01-02,75,22,74,74,41
2023-01-09,52,35,52,42,45
2023-01-16,43,42,23,63,22
2023-01-23,71,76,41,58,60
2023-01-30,30,30,21,34,79
2023-02-06,68,31,29,75,61
2023-02-13,27,29,24,68,33
2023-02-20,55,51,78,23,30
2023-02-27,57,35,29,48,37
2023-03-06,59,27,52,41,73
2023-03-13,39,57,73,44,31
2023-03-20,54,31,57,32,42
2023-03-27,67,43,32,37,31
2023-04-03,44,47,50,52,32
2023-04-10,54,72,66,35,44
2023-04-17,44,27,55,64,64
2023-04-24,48,77,64,61,70
2023-05-01,37,47,43,63,77
2023-05-08,65,55,71,21,38
2023-05-15,37,45,75,74,74
2023-05-22,21,27,34,54,65
2023-05-29,73,77,48,61,55
2023-06-05,54,79,27,53,64
2023-06-12,35,69,24,49,27
2023-06-19,60,47,48,78,48
2023-06-26,55,47,66,74,74
2023-07-03,52,56,23,32,72
2023-07-10,23,60,31,32,74
2023-07-17,52,55,64,37,51
2023-07-24,33,46,21,51,70
2023-07-31,40,73,46,51,63
2023-08-07,67,36,50,54,37
2023-08-14,39,28,70,78,25
2023-08-21,75,52,70,58,37
2023-08-28,27,72,55,65,38
2023-09-04,26,39,55,71,41
2023-09-11,22,32,45,48,56
2023-09-18,36,47,62,68,51
2023-09-25,52,67,46,48,75
2023-10-02,67,48,24,72,60
2023-10-09,31,32,39,63,78
2023-10-16,78,65,30,76,22
2023-10-23,70,54,29,35,47
2023-10-30,41,25,59,75,29
2023-11-06,74,37,57,63,70
2023-11-13,41,70,25,66,54
2023-11-20,65,24,27,76,48
2023-11-27,49,66,42,29,73
2023-12-04,57,44,66,49,34
2023-12-11,57,21,45,44,52
2023-12-18,64,29,65,58,26
2023-12-25,70,75,62,39,31
2024-01-01,73,49,31,24,68
2024-01-08,27,69,45,20,49
2024-01-15,46,78,32,49,40
2024-01-22,46,64,59,68,50
2024-01-29,53,24,37,22,77
2024-02-05,40,74,44,64,43
2024-02-12,49,75,52,33,39
2024-02-19,52,52,66,75,56
2024-02-26,47,73,59,49,23
2024-03-04,66,20,79,69,47
2024-03-11,52,37,62,23,63
2024-03-18,24,51,31,37,39
2024-03-25,79,66,63,56,79
2024-04-01,67,68,55,44,43
2024-04-08,38,30,67,67,69
2024-04-15,23,40,23,20,68
2024-04-22,54,45,24,72,70
2024-04-29,68,44,75,65,51
2024-05-06,36,41,56,34,60
2024-05-13,63,78,27,28,55
2024-05-20,47,46,61,34,77
2024-05-27,49,68,68,68,72
2024-06-03,48,32,47,76,53
2024-06-10,65,52,50,43,55
2024-06-17,72,53,77,23,21
2024-06-24,25,60,28,31,34
2024-07-01,54,54,73,78,53
2024-07-08,79,20,70,77,55
2024-07-15,60,40,48,56,25
2024-07-22,56,67,33,56,58
2024-07-29,43,74,59,62,61
2024-08-05,48,25,60,79,70
2024-08-12,68,47,41,25,70
2024-08-19,65,36,30,58,77
2024-08-26,72,24,42,75,73
2024-09-02,50,50,20,65,31
2024-09-09,54,24,65,43,22
2024-09-16,79,57,56,30,64
2024-09-23,52,22,40,32,37
2024-09-30,71,72,45,53,59
2024-10-07,40,42,65,44,40
2024-10-14,51,56,55,26,34
2024-10-21,42,72,73,71,52
2024-10-28,52,56,42,23,54
2024-11-04,22,29,76,78,45
2024-11-11,37,29,20,27,27
2024-11-18,44,38,73,39,55
2024-11-25,61,36,74,48,67
2024-12-02,50,40,70,73,49
2024-12-09,73,33,59,72,42
2024-12-16,77,28,34,70,61
2024-12-23,22,65,40,64,63
2024-12-30,59,20,66,65,33
2025-01-06,65,70,28,29,33
2025-01-13,43,64,72,62,21
2025-01-20,69,32,28,53,74
2025-01-27,51,23,29,76,56
2025-02-03,66,20,71,45,24
2025-02-10,41,68,76,60,57
2025-02-17,42,59,72,68,64
2025-02-24,21,51,45,77,60
2025-03-03,46,53,60,22,73
2025-03-10,61,47,54,75,79
2025-03-17,21,50,71,25,66
2025-03-24,45,27,44,24,33
2025-03-31,36,58,45,24,75
2025-04-07,59,45,30,73,58
2025-04-14,52,77,57,66,44
2025-04-21,28,53,21,42,39
2025-04-28,62,73,26,68,21
2025-05-05,73,73,37,28,58
2025-05-12,67,22,46,54,25
2025-05-19,58,78,53,39,36
2025-05-26,48,69,46,77,78
2025-06-02,61,31,36,68,44
2025-06-09,74,20,62,78,76
2025-06-16,45,73,78,61,47
2025-06-23,54,63,63,54,21
2025-06-30,69,24,78,69,54
2025-07-07,44,49,70,37,56
2025-07-14,43,49,73,36,24
2025-07-21,32,78,43,43,20
2025-07-28,79,76,44,22,59
2025-08-04,77,36,26,51,31
2025-08-11,26,67,71,54,75
2025-08-18,76,66,25,57,55
2025-08-25,55,42,72,32,64
2025-09-01,64,34,43,75,42
2025-09-08,39,56,52,66,66
2025-09-15,20,40,68,44,50
2025-09-22,27,33,48,28,30
2025-09-29,65,21,62,23,29
2025-10-06,35,30,41,33,22
2025-10-13,33,70,45,56,73
2025-10-20,31,58,47,53,33
2025-10-27,70,57,69,30,35
2025-11-03,42,79,40,60,29
2025-11-10,34,53,68,75,48
2025-11-17,47,57,26,22,29
2025-11-24,53,69,36,78,31
2025-12-01,21,53,39,47,49
2025-12-08,51,37,60,48,60
2025-12-15,42,49,68,28,20
2025-12-22,41,34,39,22,24
2025-12-29,70,46,73,44,39
