Date,FG_Index,FG_Classification
2016-06-06,30,Fear
2016-06-07,30,Fear
2016-06-08,34,Fear
2016-06-09,34,Fear
2016-06-10,34,Fear
2016-06-13,34,Fear
2016-06-14,32,Fear
2016-06-15,34,Fear
2016-06-16,35,Fear
2016-06-17,36,Fear
2016-06-20,35,Fear
2016-06-21,37,Fear
2016-06-22,35,Fear
2016-06-23,36,Fear
2016-06-24,39,Fear
2016-06-27,38,Fear
2016-06-28,37,Fear
2016-06-29,37,Fear
2016-06-30,36,Fear
2016-07-01,34,Fear
2016-07-04,34,Fear
2016-07-05,32,Fear
2016-07-06,33,Fear
2016-07-07,32,Fear
2016-07-08,34,Fear
2016-07-11,33,Fear
2016-07-12,32,Fear
2016-07-13,34,Fear
2016-07-14,32,Fear
2016-07-15,32,Fear
2016-07-18,34,Fear
2016-07-19,32,Fear
2016-07-20,32,Fear
2016-07-21,32,Fear
2016-07-22,34,Fear
2016-07-25,32,Fear
2016-07-26,30,Fear
2016-07-27,31,Fear
2016-07-28,31,Fear
2016-07-29,31,Fear
2016-08-01,32,Fear
2016-08-02,31,Fear
2016-08-03,31,Fear
2016-08-04,32,Fear
2016-08-05,31,Fear
2016-08-08,33,Fear
2016-08-09,34,Fear
2016-08-10,32,Fear
2016-08-11,33,Fear
2016-08-12,32,Fear
2016-08-15,33,Fear
2016-08-16,35,Fear
2016-08-17,34,Fear
2016-08-18,35,Fear
2016-08-19,36,Fear
2016-08-22,37,Fear
2016-08-23,40,Fear
2016-08-24,39,Fear
2016-08-25,38,Fear
2016-08-26,37,Fear
2016-08-29,36,Fear
2016-08-30,35,Fear
2016-08-31,36,Fear
2016-09-01,36,Fear
2016-09-02,38,Fear
2016-09-05,38,Fear
2016-09-06,40,Fear
2016-09-07,39,Fear
2016-09-08,44,Fear
2016-09-09,44,Fear
2016-09-12,43,Fear
2016-09-13,42,Fear
2016-09-14,42,Fear
2016-09-15,42,Fear
2016-09-16,43,Fear
2016-09-19,44,Fear
2016-09-20,44,Fear
2016-09-21,42,Fear
2016-09-22,40,Fear
2016-09-23,39,Fear
2016-09-26,41,Fear
2016-09-27,41,Fear
2016-09-28,39,Fear
2016-09-29,39,Fear
2016-09-30,40,Fear
2016-10-03,39,Fear
2016-10-04,39,Fear
2016-10-05,39,Fear
2016-10-06,37,Fear
2016-10-07,38,Fear
2016-10-10,39,Fear
2016-10-11,40,Fear
2016-10-12,42,Fear
2016-10-13,40,Fear
2016-10-14,38,Fear
2016-10-17,39,Fear
2016-10-18,40,Fear
2016-10-19,41,Fear
2016-10-20,46,Neutral
2016-10-21,47,Neutral
2016-10-24,49,Neutral
2016-10-25,50,Neutral
2016-10-26,51,Neutral
2016-10-27,51,Neutral
2016-10-28,52,Neutral
2016-10-31,51,Neutral
2016-11-01,51,Neutral
2016-11-02,50,Neutral
2016-11-03,50,Neutral
2016-11-04,53,Neutral
2016-11-07,51,Neutral
2016-11-08,52,Neutral
2016-11-09,49,Neutral
2016-11-10,49,Neutral
2016-11-11,50,Neutral
2016-11-14,50,Neutral
2016-11-15,49,Neutral
2016-11-16,48,Neutral
2016-11-17,49,Neutral
2016-11-18,48,Neutral
2016-11-21,48,Neutral
2016-11-22,48,Neutral
2016-11-23,47,Neutral
2016-11-24,50,Neutral
2016-11-25,51,Neutral
2016-11-28,48,Neutral
2016-11-29,48,Neutral
2016-11-30,47,Neutral
2016-12-01,49,Neutral
2016-12-02,47,Neutral
2016-12-05,47,Neutral
2016-12-06,48,Neutral
2016-12-07,49,Neutral
2016-12-08,48,Neutral
2016-12-09,47,Neutral
2016-12-12,46,Neutral
2016-12-13,45,Neutral
2016-12-14,48,Neutral
2016-12-15,49,Neutral
2016-12-16,47,Neutral
2016-12-19,48,Neutral
2016-12-20,51,Neutral
2016-12-21,53,Neutral
2016-12-22,51,Neutral
2016-12-23,50,Neutral
2016-12-26,52,Neutral
2016-12-27,51,Neutral
2016-12-28,51,Neutral
2016-12-29,52,Neutral
2016-12-30,51,Neutral
2017-01-02,51,Neutral
2017-01-03,46,Neutral
2017-01-04,45,Neutral
2017-01-05,44,Fear
2017-01-06,42,Fear
2017-01-09,45,Neutral
2017-01-10,43,Fear
2017-01-11,42,Fear
2017-01-12,42,Fear
2017-01-13,44,Fear
2017-01-16,42,Fear
2017-01-17,44,Fear
2017-01-18,44,Fear
2017-01-19,42,Fear
2017-01-20,43,Fear
2017-01-23,43,Fear
2017-01-24,43,Fear
2017-01-25,43,Fear
2017-01-26,42,Fear
2017-01-27,42,Fear
2017-01-30,43,Fear
2017-01-31,46,Neutral
2017-02-01,44,Fear
2017-02-02,47,Neutral
2017-02-03,44,Fear
2017-02-06,44,Fear
2017-02-07,45,Neutral
2017-02-08,45,Neutral
2017-02-09,44,Fear
2017-02-10,44,Fear
2017-02-13,43,Fear
2017-02-14,42,Fear
2017-02-15,44,Fear
2017-02-16,44,Fear
2017-02-17,43,Fear
2017-02-20,44,Fear
2017-02-21,45,Neutral
2017-02-22,46,Neutral
2017-02-23,47,Neutral
2017-02-24,46,Neutral
2017-02-27,45,Neutral
2017-02-28,46,Neutral
2017-03-01,47,Neutral
2017-03-02,47,Neutral
2017-03-03,47,Neutral
2017-03-06,49,Neutral
2017-03-07,48,Neutral
2017-03-08,49,Neutral
2017-03-09,49,Neutral
2017-03-10,48,Neutral
2017-03-13,50,Neutral
2017-03-14,51,Neutral
2017-03-15,52,Neutral
2017-03-16,54,Neutral
2017-03-17,54,Neutral
2017-03-20,55,Neutral
2017-03-21,55,Neutral
2017-03-22,55,Neutral
2017-03-23,55,Neutral
2017-03-24,55,Neutral
2017-03-27,56,Greed
2017-03-28,55,Neutral
2017-03-29,58,Greed
2017-03-30,57,Greed
2017-03-31,55,Neutral
2017-04-03,57,Greed
2017-04-04,58,Greed
2017-04-05,59,Greed
2017-04-06,60,Greed
2017-04-07,60,Greed
2017-04-10,58,Greed
2017-04-11,58,Greed
2017-04-12,57,Greed
2017-04-13,59,Greed
2017-04-14,59,Greed
2017-04-17,57,Greed
2017-04-18,57,Greed
2017-04-19,58,Greed
2017-04-20,57,Greed
2017-04-21,55,Neutral
2017-04-24,56,Greed
2017-04-25,56,Greed
2017-04-26,55,Neutral
2017-04-27,55,Neutral
2017-04-28,55,Neutral
2017-05-01,53,Neutral
2017-05-02,51,Neutral
2017-05-03,50,Neutral
2017-05-04,49,Neutral
2017-05-05,50,Neutral
2017-05-08,52,Neutral
2017-05-09,53,Neutral
2017-05-10,53,Neutral
2017-05-11,53,Neutral
2017-05-12,52,Neutral
2017-05-15,52,Neutral
2017-05-16,51,Neutral
2017-05-17,52,Neutral
2017-05-18,50,Neutral
2017-05-19,51,Neutral
2017-05-22,53,Neutral
2017-05-23,53,Neutral
2017-05-24,54,Neutral
2017-05-25,55,Neutral
2017-05-26,54,Neutral
2017-05-29,55,Neutral
2017-05-30,55,Neutral
2017-05-31,55,Neutral
2017-06-01,54,Neutral
2017-06-02,54,Neutral
2017-06-05,54,Neutral
2017-06-06,57,Greed
2017-06-07,58,Greed
2017-06-08,61,Greed
2017-06-09,60,Greed
2017-06-12,61,Greed
2017-06-13,62,Greed
2017-06-14,65,Greed
2017-06-15,64,Greed
2017-06-16,63,Greed
2017-06-19,62,Greed
2017-06-20,58,Greed
2017-06-21,58,Greed
2017-06-22,57,Greed
2017-06-23,57,Greed
2017-06-26,57,Greed
2017-06-27,60,Greed
2017-06-28,62,Greed
2017-06-29,61,Greed
2017-06-30,59,Greed
2017-07-03,60,Greed
2017-07-04,58,Greed
2017-07-05,61,Greed
2017-07-06,63,Greed
2017-07-07,62,Greed
2017-07-10,59,Greed
2017-07-11,61,Greed
2017-07-12,61,Greed
2017-07-13,63,Greed
2017-07-14,61,Greed
2017-07-17,60,Greed
2017-07-18,60,Greed
2017-07-19,60,Greed
2017-07-20,59,Greed
2017-07-21,60,Greed
2017-07-24,58,Greed
2017-07-25,58,Greed
2017-07-26,58,Greed
2017-07-27,59,Greed
2017-07-28,60,Greed
2017-07-31,59,Greed
2017-08-01,56,Greed
2017-08-02,58,Greed
2017-08-03,59,Greed
2017-08-04,58,Greed
2017-08-07,60,Greed
2017-08-08,60,Greed
2017-08-09,62,Greed
2017-08-10,62,Greed
2017-08-11,65,Greed
2017-08-14,68,Greed
2017-08-15,67,Greed
2017-08-16,69,Greed
2017-08-17,70,Greed
2017-08-18,72,Greed
2017-08-21,70,Greed
2017-08-22,71,Greed
2017-08-23,73,Greed
2017-08-24,70,Greed
2017-08-25,69,Greed
2017-08-28,65,Greed
2017-08-29,65,Greed
2017-08-30,66,Greed
2017-08-31,68,Greed
2017-09-01,69,Greed
2017-09-04,71,Greed
2017-09-05,69,Greed
2017-09-06,66,Greed
2017-09-07,66,Greed
2017-09-08,67,Greed
2017-09-11,67,Greed
2017-09-12,64,Greed
2017-09-13,64,Greed
2017-09-14,62,Greed
2017-09-15,63,Greed
2017-09-18,63,Greed
2017-09-19,62,Greed
2017-09-20,61,Greed
2017-09-21,59,Greed
2017-09-22,59,Greed
2017-09-25,61,Greed
2017-09-26,59,Greed
2017-09-27,60,Greed
2017-09-28,59,Greed
2017-09-29,58,Greed
2017-10-02,58,Greed
2017-10-03,56,Greed
2017-10-04,55,Neutral
2017-10-05,54,Neutral
2017-10-06,57,Greed
2017-10-09,57,Greed
2017-10-10,56,Greed
2017-10-11,56,Greed
2017-10-12,56,Greed
2017-10-13,55,Neutral
2017-10-16,56,Greed
2017-10-17,57,Greed
2017-10-18,57,Greed
2017-10-19,56,Greed
2017-10-20,55,Neutral
2017-10-23,52,Neutral
2017-10-24,50,Neutral
2017-10-25,52,Neutral
2017-10-26,54,Neutral
2017-10-27,54,Neutral
2017-10-30,55,Neutral
2017-10-31,55,Neutral
2017-11-01,60,Greed
2017-11-02,61,Greed
2017-11-03,61,Greed
2017-11-06,60,Greed
2017-11-07,57,Greed
2017-11-08,58,Greed
2017-11-09,57,Greed
2017-11-10,54,Neutral
2017-11-13,54,Neutral
2017-11-14,52,Neutral
2017-11-15,54,Neutral
2017-11-16,56,Greed
2017-11-17,56,Greed
2017-11-20,58,Greed
2017-11-21,58,Greed
2017-11-22,57,Greed
2017-11-23,59,Greed
2017-11-24,60,Greed
2017-11-27,58,Greed
2017-11-28,58,Greed
2017-11-29,57,Greed
2017-11-30,55,Neutral
2017-12-01,56,Greed
2017-12-04,59,Greed
2017-12-05,57,Greed
2017-12-06,58,Greed
2017-12-07,57,Greed
2017-12-08,56,Greed
2017-12-11,55,Neutral
2017-12-12,54,Neutral
2017-12-13,54,Neutral
2017-12-14,53,Neutral
2017-12-15,53,Neutral
2017-12-18,53,Neutral
2017-12-19,53,Neutral
2017-12-20,51,Neutral
2017-12-21,50,Neutral
2017-12-22,51,Neutral
2017-12-25,52,Neutral
2017-12-26,51,Neutral
2017-12-27,51,Neutral
2017-12-28,52,Neutral
2017-12-29,49,Neutral
2018-01-01,50,Neutral
2018-01-02,49,Neutral
2018-01-03,50,Neutral
2018-01-04,49,Neutral
2018-01-05,46,Neutral
2018-01-08,44,Fear
2018-01-09,44,Fear
2018-01-10,44,Fear
2018-01-11,43,Fear
2018-01-12,44,Fear
2018-01-15,41,Fear
2018-01-16,41,Fear
2018-01-17,40,Fear
2018-01-18,39,Fear
2018-01-19,39,Fear
2018-01-22,37,Fear
2018-01-23,37,Fear
2018-01-24,38,Fear
2018-01-25,37,Fear
2018-01-26,39,Fear
2018-01-29,37,Fear
2018-01-30,38,Fear
2018-01-31,40,Fear
2018-02-01,36,Fear
2018-02-02,35,Fear
2018-02-05,36,Fear
2018-02-06,36,Fear
2018-02-07,36,Fear
2018-02-08,35,Fear
2018-02-09,35,Fear
2018-02-12,35,Fear
2018-02-13,37,Fear
2018-02-14,37,Fear
2018-02-15,38,Fear
2018-02-16,37,Fear
2018-02-19,36,Fear
2018-02-20,36,Fear
2018-02-21,36,Fear
2018-02-22,36,Fear
2018-02-23,36,Fear
2018-02-26,39,Fear
2018-02-27,41,Fear
2018-02-28,40,Fear
2018-03-01,42,Fear
2018-03-02,41,Fear
2018-03-05,38,Fear
2018-03-06,37,Fear
2018-03-07,34,Fear
2018-03-08,33,Fear
2018-03-09,33,Fear
2018-03-12,36,Fear
2018-03-13,36,Fear
2018-03-14,36,Fear
2018-03-15,37,Fear
2018-03-16,34,Fear
2018-03-19,34,Fear
2018-03-20,36,Fear
2018-03-21,33,Fear
2018-03-22,35,Fear
2018-03-23,36,Fear
2018-03-26,35,Fear
2018-03-27,36,Fear
2018-03-28,39,Fear
2018-03-29,40,Fear
2018-03-30,40,Fear
2018-04-02,39,Fear
2018-04-03,38,Fear
2018-04-04,39,Fear
2018-04-05,38,Fear
2018-04-06,38,Fear
2018-04-09,37,Fear
2018-04-10,38,Fear
2018-04-11,39,Fear
2018-04-12,40,Fear
2018-04-13,39,Fear
2018-04-16,39,Fear
2018-04-17,37,Fear
2018-04-18,37,Fear
2018-04-19,37,Fear
2018-04-20,38,Fear
2018-04-23,37,Fear
2018-04-24,38,Fear
2018-04-25,40,Fear
2018-04-26,41,Fear
2018-04-27,44,Fear
2018-04-30,43,Fear
2018-05-01,41,Fear
2018-05-02,38,Fear
2018-05-03,40,Fear
2018-05-04,41,Fear
2018-05-07,41,Fear
2018-05-08,42,Fear
2018-05-09,40,Fear
2018-05-10,44,Fear
2018-05-11,44,Fear
2018-05-14,44,Fear
2018-05-15,45,Neutral
2018-05-16,46,Neutral
2018-05-17,46,Neutral
2018-05-18,45,Neutral
2018-05-21,46,Neutral
2018-05-22,49,Neutral
2018-05-23,51,Neutral
2018-05-24,53,Neutral
2018-05-25,52,Neutral
2018-05-28,51,Neutral
2018-05-29,51,Neutral
2018-05-30,51,Neutral
2018-05-31,52,Neutral
2018-06-01,50,Neutral
2018-06-04,52,Neutral
2018-06-05,52,Neutral
2018-06-06,51,Neutral
2018-06-07,50,Neutral
2018-06-08,47,Neutral
2018-06-11,48,Neutral
2018-06-12,48,Neutral
2018-06-13,47,Neutral
2018-06-14,45,Neutral
2018-06-15,44,Fear
2018-06-18,47,Neutral
2018-06-19,46,Neutral
2018-06-20,44,Fear
2018-06-21,44,Fear
2018-06-22,43,Fear
2018-06-25,39,Fear
2018-06-26,39,Fear
2018-06-27,39,Fear
2018-06-28,40,Fear
2018-06-29,43,Fear
2018-07-02,44,Fear
2018-07-03,44,Fear
2018-07-04,42,Fear
2018-07-05,46,Neutral
2018-07-06,46,Neutral
2018-07-09,46,Neutral
2018-07-10,46,Neutral
2018-07-11,46,Neutral
2018-07-12,46,Neutral
2018-07-13,45,Neutral
2018-07-16,44,Fear
2018-07-17,44,Fear
2018-07-18,44,Fear
2018-07-19,43,Fear
2018-07-20,43,Fear
2018-07-23,42,Fear
2018-07-24,45,Neutral
2018-07-25,41,Fear
2018-07-26,42,Fear
2018-07-27,44,Fear
2018-07-30,41,Fear
2018-07-31,40,Fear
2018-08-01,40,Fear
2018-08-02,38,Fear
2018-08-03,37,Fear
2018-08-06,35,Fear
2018-08-07,38,Fear
2018-08-08,39,Fear
2018-08-09,41,Fear
2018-08-10,42,Fear
2018-08-13,40,Fear
2018-08-14,40,Fear
2018-08-15,40,Fear
2018-08-16,38,Fear
2018-08-17,39,Fear
2018-08-20,39,Fear
2018-08-21,39,Fear
2018-08-22,40,Fear
2018-08-23,40,Fear
2018-08-24,40,Fear
2018-08-27,41,Fear
2018-08-28,40,Fear
2018-08-29,41,Fear
2018-08-30,42,Fear
2018-08-31,41,Fear
2018-09-03,42,Fear
2018-09-04,40,Fear
2018-09-05,41,Fear
2018-09-06,41,Fear
2018-09-07,40,Fear
2018-09-10,42,Fear
2018-09-11,41,Fear
2018-09-12,39,Fear
2018-09-13,36,Fear
2018-09-14,37,Fear
2018-09-17,35,Fear
2018-09-18,38,Fear
2018-09-19,35,Fear
2018-09-20,37,Fear
2018-09-21,38,Fear
2018-09-24,37,Fear
2018-09-25,37,Fear
2018-09-26,37,Fear
2018-09-27,37,Fear
2018-09-28,39,Fear
2018-10-01,39,Fear
2018-10-02,39,Fear
2018-10-03,39,Fear
2018-10-04,39,Fear
2018-10-05,39,Fear
2018-10-08,36,Fear
2018-10-09,34,Fear
2018-10-10,36,Fear
2018-10-11,36,Fear
2018-10-12,36,Fear
2018-10-15,36,Fear
2018-10-16,36,Fear
2018-10-17,35,Fear
2018-10-18,34,Fear
2018-10-19,34,Fear
2018-10-22,33,Fear
2018-10-23,34,Fear
2018-10-24,31,Fear
2018-10-25,33,Fear
2018-10-26,33,Fear
2018-10-29,34,Fear
2018-10-30,35,Fear
2018-10-31,38,Fear
2018-11-01,39,Fear
2018-11-02,36,Fear
2018-11-05,34,Fear
2018-11-06,34,Fear
2018-11-07,34,Fear
2018-11-08,34,Fear
2018-11-09,33,Fear
2018-11-12,34,Fear
2018-11-13,32,Fear
2018-11-14,31,Fear
2018-11-15,29,Fear
2018-11-16,28,Fear
2018-11-19,26,Fear
2018-11-20,25,Fear
2018-11-21,26,Fear
2018-11-22,25,Fear
2018-11-23,29,Fear
2018-11-26,29,Fear
2018-11-27,30,Fear
2018-11-28,28,Fear
2018-11-29,29,Fear
2018-11-30,29,Fear
2018-12-03,29,Fear
2018-12-04,33,Fear
2018-12-05,32,Fear
2018-12-06,34,Fear
2018-12-07,33,Fear
2018-12-10,33,Fear
2018-12-11,36,Fear
2018-12-12,35,Fear
2018-12-13,37,Fear
2018-12-14,39,Fear
2018-12-17,38,Fear
2018-12-18,39,Fear
2018-12-19,40,Fear
2018-12-20,41,Fear
2018-12-21,39,Fear
2018-12-24,38,Fear
2018-12-25,37,Fear
2018-12-26,37,Fear
2018-12-27,38,Fear
2018-12-28,38,Fear
2018-12-31,36,Fear
2019-01-01,37,Fear
2019-01-02,38,Fear
2019-01-03,39,Fear
2019-01-04,40,Fear
2019-01-07,41,Fear
2019-01-08,42,Fear
2019-01-09,42,Fear
2019-01-10,40,Fear
2019-01-11,40,Fear
2019-01-14,41,Fear
2019-01-15,41,Fear
2019-01-16,39,Fear
2019-01-17,37,Fear
2019-01-18,39,Fear
2019-01-21,39,Fear
2019-01-22,40,Fear
2019-01-23,40,Fear
2019-01-24,40,Fear
2019-01-25,41,Fear
2019-01-28,41,Fear
2019-01-29,41,Fear
2019-01-30,40,Fear
2019-01-31,39,Fear
2019-02-01,39,Fear
2019-02-04,39,Fear
2019-02-05,39,Fear
2019-02-06,40,Fear
2019-02-07,39,Fear
2019-02-08,39,Fear
2019-02-11,38,Fear
2019-02-12,40,Fear
2019-02-13,41,Fear
2019-02-14,42,Fear
2019-02-15,40,Fear
2019-02-18,40,Fear
2019-02-19,42,Fear
2019-02-20,42,Fear
2019-02-21,43,Fear
2019-02-22,43,Fear
2019-02-25,45,Neutral
2019-02-26,48,Neutral
2019-02-27,48,Neutral
2019-02-28,47,Neutral
2019-03-01,49,Neutral
2019-03-04,52,Neutral
2019-03-05,51,Neutral
2019-03-06,50,Neutral
2019-03-07,50,Neutral
2019-03-08,48,Neutral
2019-03-11,46,Neutral
2019-03-12,45,Neutral
2019-03-13,44,Fear
2019-03-14,44,Fear
2019-03-15,44,Fear
2019-03-18,46,Neutral
2019-03-19,45,Neutral
2019-03-20,46,Neutral
2019-03-21,46,Neutral
2019-03-22,46,Neutral
2019-03-25,47,Neutral
2019-03-26,45,Neutral
2019-03-27,46,Neutral
2019-03-28,46,Neutral
2019-03-29,47,Neutral
2019-04-01,47,Neutral
2019-04-02,51,Neutral
2019-04-03,50,Neutral
2019-04-04,49,Neutral
2019-04-05,48,Neutral
2019-04-08,47,Neutral
2019-04-09,46,Neutral
2019-04-10,48,Neutral
2019-04-11,50,Neutral
2019-04-12,49,Neutral
2019-04-15,48,Neutral
2019-04-16,49,Neutral
2019-04-17,48,Neutral
2019-04-18,49,Neutral
2019-04-19,49,Neutral
2019-04-22,47,Neutral
2019-04-23,49,Neutral
2019-04-24,52,Neutral
2019-04-25,51,Neutral
2019-04-26,51,Neutral
2019-04-29,51,Neutral
2019-04-30,52,Neutral
2019-05-01,53,Neutral
2019-05-02,56,Greed
2019-05-03,55,Neutral
2019-05-06,54,Neutral
2019-05-07,52,Neutral
2019-05-08,51,Neutral
2019-05-09,51,Neutral
2019-05-10,54,Neutral
2019-05-13,53,Neutral
2019-05-14,53,Neutral
2019-05-15,53,Neutral
2019-05-16,55,Neutral
2019-05-17,59,Greed
2019-05-20,58,Greed
2019-05-21,57,Greed
2019-05-22,59,Greed
2019-05-23,60,Greed
2019-05-24,62,Greed
2019-05-27,63,Greed
2019-05-28,63,Greed
2019-05-29,64,Greed
2019-05-30,65,Greed
2019-05-31,67,Greed
2019-06-03,67,Greed
2019-06-04,69,Greed
2019-06-05,71,Greed
2019-06-06,73,Greed
2019-06-07,74,Greed
2019-06-10,74,Greed
2019-06-11,74,Greed
2019-06-12,76,Extreme Greed
2019-06-13,74,Greed
2019-06-14,75,Greed
2019-06-17,74,Greed
2019-06-18,74,Greed
2019-06-19,76,Extreme Greed
2019-06-20,77,Extreme Greed
2019-06-21,77,Extreme Greed
2019-06-24,75,Greed
2019-06-25,76,Extreme Greed
2019-06-26,77,Extreme Greed
2019-06-27,80,Extreme Greed
2019-06-28,79,Extreme Greed
2019-07-01,80,Extreme Greed
2019-07-02,80,Extreme Greed
2019-07-03,83,Extreme Greed
2019-07-04,82,Extreme Greed
2019-07-05,83,Extreme Greed
2019-07-08,84,Extreme Greed
2019-07-09,84,Extreme Greed
2019-07-10,83,Extreme Greed
2019-07-11,84,Extreme Greed
2019-07-12,85,Extreme Greed
2019-07-15,84,Extreme Greed
2019-07-16,84,Extreme Greed
2019-07-17,83,Extreme Greed
2019-07-18,85,Extreme Greed
2019-07-19,82,Extreme Greed
2019-07-22,81,Extreme Greed
2019-07-23,82,Extreme Greed
2019-07-24,84,Extreme Greed
2019-07-25,84,Extreme Greed
2019-07-26,83,Extreme Greed
2019-07-29,86,Extreme Greed
2019-07-30,84,Extreme Greed
2019-07-31,81,Extreme Greed
2019-08-01,81,Extreme Greed
2019-08-02,81,Extreme Greed
2019-08-05,79,Extreme Greed
2019-08-06,80,Extreme Greed
2019-08-07,81,Extreme Greed
2019-08-08,80,Extreme Greed
2019-08-09,78,Extreme Greed
2019-08-12,79,Extreme Greed
2019-08-13,80,Extreme Greed
2019-08-14,80,Extreme Greed
2019-08-15,83,Extreme Greed
2019-08-16,81,Extreme Greed
2019-08-19,79,Extreme Greed
2019-08-20,78,Extreme Greed
2019-08-21,78,Extreme Greed
2019-08-22,78,Extreme Greed
2019-08-23,78,Extreme Greed
2019-08-26,78,Extreme Greed
2019-08-27,76,Extreme Greed
2019-08-28,79,Extreme Greed
2019-08-29,78,Extreme Greed
2019-08-30,80,Extreme Greed
2019-09-02,81,Extreme Greed
2019-09-03,81,Extreme Greed
2019-09-04,82,Extreme Greed
2019-09-05,83,Extreme Greed
2019-09-06,84,Extreme Greed
2019-09-09,86,Extreme Greed
2019-09-10,86,Extreme Greed
2019-09-11,87,Extreme Greed
2019-09-12,87,Extreme Greed
2019-09-13,89,Extreme Greed
2019-09-16,88,Extreme Greed
2019-09-17,91,Extreme Greed
2019-09-18,91,Extreme Greed
2019-09-19,89,Extreme Greed
2019-09-20,89,Extreme Greed
2019-09-23,88,Extreme Greed
2019-09-24,89,Extreme Greed
2019-09-25,88,Extreme Greed
2019-09-26,87,Extreme Greed
2019-09-27,85,Extreme Greed
2019-09-30,84,Extreme Greed
2019-10-01,80,Extreme Greed
2019-10-02,78,Extreme Greed
2019-10-03,79,Extreme Greed
2019-10-04,80,Extreme Greed
2019-10-07,81,Extreme Greed
2019-10-08,79,Extreme Greed
2019-10-09,79,Extreme Greed
2019-10-10,79,Extreme Greed
2019-10-11,78,Extreme Greed
2019-10-14,80,Extreme Greed
2019-10-15,81,Extreme Greed
2019-10-16,81,Extreme Greed
2019-10-17,81,Extreme Greed
2019-10-18,81,Extreme Greed
2019-10-21,78,Extreme Greed
2019-10-22,78,Extreme Greed
2019-10-23,77,Extreme Greed
2019-10-24,75,Greed
2019-10-25,75,Greed
2019-10-28,78,Extreme Greed
2019-10-29,78,Extreme Greed
2019-10-30,78,Extreme Greed
2019-10-31,78,Extreme Greed
2019-11-01,81,Extreme Greed
2019-11-04,82,Extreme Greed
2019-11-05,82,Extreme Greed
2019-11-06,81,Extreme Greed
2019-11-07,82,Extreme Greed
2019-11-08,83,Extreme Greed
2019-11-11,84,Extreme Greed
2019-11-12,85,Extreme Greed
2019-11-13,87,Extreme Greed
2019-11-14,86,Extreme Greed
2019-11-15,88,Extreme Greed
2019-11-18,88,Extreme Greed
2019-11-19,91,Extreme Greed
2019-11-20,90,Extreme Greed
2019-11-21,93,Extreme Greed
2019-11-22,93,Extreme Greed
2019-11-25,92,Extreme Greed
2019-11-26,91,Extreme Greed
2019-11-27,91,Extreme Greed
