Date,share market,NIFTY,NSE India,stock market India,BSE
2019-07-15,65,69,25,48,78
2019-07-22,63,32,77,29,78
2019-07-29,70,75,30,20,29
2019-08-05,78,57,68,66,75
2019-08-12,48,27,21,29,58
2019-08-19,65,71,67,23,67
2019-08-26,72,79,61,71,29
2019-09-02,51,79,56,45,70
2019-09-09,35,46,30,27,52
2019-09-16,52,52,29,50,52
2019-09-23,29,31,50,63,35
2019-09-30,31,67,59,57,66
2019-10-07,79,30,64,40,58
2019-10-14,38,75,48,39,70
2019-10-21,31,66,41,50,30
2019-10-28,33,22,33,62,24
2019-11-04,74,47,28,40,46
2019-11-11,60,61,41,35,22
2019-11-18,20,74,36,77,32
2019-11-25,38,61,73,32,43
2019-12-02,56,73,39,28,40
2019-12-09,58,44,52,72,78
2019-12-16,36,20,73,35,73
2019-12-23,29,48,55,73,52
2019-12-30,42,47,64,27,50
2020-01-06,54,40,32,73,66
2020-01-13,54,29,76,58,60
2020-01-20,28,48,26,72,28
2020-01-27,27,64,77,56,64
2020-02-03,48,77,55,46,58
2020-02-10,55,26,51,79,27
2020-02-17,36,55,56,21,37
2020-02-24,33,28,73,59,77
2020-03-02,66,69,29,20,38
2020-03-09,54,34,67,35,49
2020-03-16,67,54,77,42,38
2020-03-23,42,41,41,77,25
2020-03-30,38,71,58,70,24
2020-04-06,64,53,33,47,63
2020-04-13,49,70,66,71,22
2020-04-20,77,49,34,25,55
2020-04-27,75,79,74,68,20
2020-05-04,36,52,35,46,27
2020-05-11,73,37,67,57,23
2020-05-18,48,62,42,69,39
2020-05-25,61,69,60,72,70
2020-06-01,49,32,69,57,43
2020-06-08,27,31,39,43,48
2020-06-15,67,70,77,55,41
2020-06-22,53,66,31,73,68
2020-06-29,48,59,72,66,55
2020-07-06,39,21,35,53,77
2020-07-13,61,47,59,33,79
2020-07-20,70,56,26,56,64
2020-07-27,25,75,59,66,61
2020-08-03,55,59,34,44,78
2020-08-10,63,33,52,29,28
2020-08-17,58,57,36,75,59
2020-08-24,34,62,72,22,58
2020-08-31,32,32,56,24,42
2020-09-07,61,46,53,29,70
2020-09-14,42,54,52,28,60
2020-09-21,37,66,47,30,58
2020-09-28,31,57,55,51,38
2020-10-05,37,24,59,73,31
2020-10-12,51,54,36,29,71
2020-10-19,70,39,20,68,49
2020-10-26,38,25,25,46,62
2020-11-02,52,61,59,40,53
2020-11-09,59,70,42,40,72
2020-11-16,50,21,50,70,63
2020-11-23,61,32,71,30,73
2020-11-30,63,61,49,31,51
2020-12-07,24,62,30,28,30
2020-12-14,69,76,73,38,25
2020-12-21,50,32,52,21,74
2020-12-28,67,24,63,31,73
2021-01-04,50,71,63,40,63
2021-01-11,42,60,40,33,63
2021-01-18,74,50,49,36,46
2021-01-25,24,32,72,55,31
2021-02-01,34,46,63,62,23
2021-02-08,74,31,68,34,37
2021-02-15,69,26,67,74,22
2021-02-22,20,30,76,22,53
2021-03-01,28,70,62,79,64
2021-03-08,63,43,63,58,75
2021-03-15,43,30,61,22,22
2021-03-22,76,40,76,27,44
2021-03-29,23,77,44,30,77
2021-04-05,25,43,78,65,52
2021-04-12,73,53,26,44,33
2021-04-19,67,71,41,59,48
2021-04-26,68,72,60,34,50
2021-05-03,54,33,72,28,32
2021-05-10,57,67,36,67,74
2021-05-17,33,31,47,41,78
2021-05-24,39,71,68,66,47
2021-05-31,27,62,33,41,72
2021-06-07,58,49,57,21,31
2021-06-14,29,58,71,47,69
2021-06-21,24,74,77,36,73
2021-06-28,57,43,59,60,39
2021-07-05,39,38,78,79,45
2021-07-12,32,53,31,56,49
2021-07-19,57,29,63,27,31
2021-07-26,75,53,26,41,42
2021-08-02,53,28,41,21,48
2021-08-09,51,65,72,59,54
2021-08-16,65,59,64,40,37
2021-08-23,33,52,66,47,57
2021-08-30,57,43,33,30,73
2021-09-06,39,71,59,53,52
2021-09-13,75,20,72,20,33
2021-09-20,43,42,54,42,31
2021-09-27,73,35,76,50,45
2021-10-04,44,71,38,50,75
2021-10-11,79,57,54,68,76
2021-10-18,64,75,45,33,50
2021-10-25,48,58,50,32,22
2021-11-01,53,78,32,29,29
2021-11-08,49,23,65,29,61
2021-11-15,73,48,48,61,47
2021-11-22,66,31,58,42,37
2021-11-29,45,32,29,45,20
2021-12-06,35,64,71,34,42
2021-12-13,79,49,23,25,51
2021-12-20,42,47,68,51,22
2021-12-27,46,45,57,27,31
2022-01-03,38,58,43,45,68
2022-01-10,69,39,23,32,78
2022-01-17,53,32,79,32,44
2022-01-24,50,44,62,36,23
2022-01-31,22,35,20,50,24
2022-02-07,42,75,40,25,67
2022-02-14,25,74,33,69,22
2022-02-21,20,24,72,32,20
2022-02-28,68,24,64,72,50
2022-03-07,61,20,22,59,52
2022-03-14,78,66,59,61,54
2022-03-21,25,40,49,74,78
2022-03-28,60,66,21,44,64
2022-04-04,58,48,32,44,30
2022-04-11,43,26,61,53,20
2022-04-18,25,42,61,48,31
2022-04-25,24,52,66,25,36
2022-05-02,60,54,62,51,63
2022-05-09,60,55,51,79,72
2022-05-16,69,29,42,37,37
2022-05-23,23,45,44,45,71
2022-05-30,61,74,68,55,36
2022-06-06,56,39,30,49,54
2022-06-13,76,25,65,40,62
2022-06-20,58,24,58,34,25
2022-06-27,22,65,27,42,20
2022-07-04,38,45,25,23,41
2022-07-11,76,42,59,42,63
2022-07-18,32,64,70,79,53
2022-07-25,51,74,51,75,35
2022-08-01,44,56,74,56,34
2022-08-08,69,67,26,25,67
2022-08-15,35,76,64,63,67
2022-08-22,46,21,28,41,47
2022-08-29,44,35,61,43,53
2022-09-05,61,62,71,48,39
2022-09-12,68,39,46,25,50
2022-09-19,35,36,21,20,46
2022-09-26,51,39,63,77,73
2022-10-03,67,73,29,25,50
2022-10-10,23,52,20,32,50
2022-10-17,54,51,40,20,47
2022-10-24,38,47,63,63,69
2022-10-31,64,23,26,23,63
2022-11-07,51,27,22,42,77
2022-11-14,20,32,50,78,39
2022-11-21,62,44,39,72,49
2022-11-28,64,57,34,46,67
2022-12-05,25,54,34,54,38
2022-12-12,36,31,72,68,44
2022-12-19,52,20,51,61,61
2022-12-26,44,62,41,26,23
2023-01-02,22,59,70,33,27
2023-01-09,54,23,50,42,49
2023-01-16,43,20,77,21,40
2023-01-23,24,30,25,56,66
2023-01-30,78,47,61,70,40
2023-02-06,46,48,77,58,21
2023-02-13,54,20,33,43,21
2023-02-20,68,30,45,44,59
2023-02-27,42,42,26,36,43
2023-03-06,65,54,58,43,37
2023-03-13,34,43,56,58,71
2023-03-20,27,69,27,69,57
2023-03-27,41,21,57,64,24
2023-04-03,40,49,61,47,66
2023-04-10,35,57,40,47,23
2023-04-17,78,60,24,67,71
2023-04-24,61,68,39,30,22
2023-05-01,57,52,45,26,39
2023-05-08,61,57,57,71,37
2023-05-15,46,42,70,57,43
2023-05-22,52,35,71,46,51
2023-05-29,35,42,36,21,28
2023-06-05,74,26,68,59,38
2023-06-12,36,49,67,35,29
2023-06-19,39,68,33,25,77
2023-06-26,32,24,61,20,51
2023-07-03,24,45,68,53,37
2023-07-10,48,65,35,20,53
2023-07-17,49,71,78,78,45
2023-07-24,79,68,65,46,44
2023-07-31,34,53,77,75,72
2023-08-07,23,54,74,66,72
2023-08-14,58,70,47,54,60
2023-08-21,60,74,35,64,40
2023-08-28,24,31,55,35,54
2023-09-04,60,76,47,49,69
2023-09-11,36,47,27,61,23
2023-09-18,34,32,33,28,46
2023-09-25,73,66,29,33,77
2023-10-02,42,43,29,77,37
2023-10-09,49,65,21,23,31
2023-10-16,56,37,46,24,41
2023-10-23,64,76,72,29,45
2023-10-30,38,42,34,51,59
2023-11-06,44,24,46,69,61
2023-11-13,30,21,41,55,49
2023-11-20,73,70,39,28,69
2023-11-27,35,67,41,25,56
2023-12-04,36,33,30,21,33
2023-12-11,66,24,37,70,66
2023-12-18,21,22,64,78,68
2023-12-25,61,42,52,35,42
2024-01-01,48,78,55,48,22
2024-01-08,78,50,44,29,62
2024-01-15,29,59,52,25,53
2024-01-22,46,32,28,62,38
2024-01-29,75,32,60,41,73
2024-02-05,38,70,56,74,29
2024-02-12,27,59,68,44,57
2024-02-19,77,47,37,28,28
2024-02-26,55,64,62,75,69
2024-03-04,57,58,52,77,50
2024-03-11,78,45,39,53,46
2024-03-18,58,67,49,72,65
2024-03-25,59,62,54,21,38
2024-04-01,20,31,39,32,59
2024-04-08,45,50,48,27,28
2024-04-15,45,47,49,68,29
2024-04-22,41,41,55,30,75
2024-04-29,37,42,70,62,32
2024-05-06,73,70,28,31,55
2024-05-13,69,71,61,73,73
2024-05-20,30,35,24,61,45
2024-05-27,62,31,57,36,46
2024-06-03,31,57,43,70,25
2024-06-10,33,39,27,52,37
2024-06-17,69,49,31,34,49
2024-06-24,37,25,76,60,29
2024-07-01,50,57,79,56,71
2024-07-08,61,29,41,35,77
2024-07-15,60,62,57,37,67
2024-07-22,26,75,62,49,41
2024-07-29,38,31,53,44,35
2024-08-05,67,56,21,35,49
2024-08-12,59,41,57,67,39
2024-08-19,75,57,33,37,35
2024-08-26,75,53,48,42,50
2024-09-02,60,47,72,24,64
2024-09-09,30,46,31,57,40
2024-09-16,34,54,40,76,57
2024-09-23,73,46,45,39,36
2024-09-30,48,57,28,64,68
2024-10-07,36,32,73,62,63
2024-10-14,38,42,47,33,53
2024-10-21,38,68,47,68,57
2024-10-28,43,21,56,29,28
2024-11-04,64,69,32,56,78
2024-11-11,28,38,28,50,45
2024-11-18,20,69,60,67,29
2024-11-25,24,78,45,76,51
2024-12-02,44,51,31,29,29
2024-12-09,53,33,42,31,73
2024-12-16,45,52,38,45,67
2024-12-23,78,26,41,39,25
2024-12-30,26,61,65,73,64
2025-01-06,28,58,27,37,64
2025-01-13,46,22,47,21,50
2025-01-20,54,41,69,64,65
2025-01-27,72,71,64,40,66
2025-02-03,44,74,32,78,41
2025-02-10,75,31,49,59,49
2025-02-17,29,69,36,23,25
2025-02-24,33,70,71,60,47
2025-03-03,33,57,73,66,52
2025-03-10,48,70,50,44,41
2025-03-17,27,75,25,27,27
2025-03-24,76,27,48,67,33
2025-03-31,71,67,68,64,33
2025-04-07,64,78,49,36,79
2025-04-14,77,71,68,56,51
2025-04-21,40,36,34,41,51
2025-04-28,37,35,79,64,34
2025-05-05,33,79,62,51,22
2025-05-12,37,44,50,57,79
2025-05-19,34,24,39,64,27
2025-05-26,79,57,38,32,22
2025-06-02,26,74,75,66,29
2025-06-09,72,44,32,41,56
2025-06-16,73,63,37,55,41
2025-06-23,36,51,48,66,33
2025-06-30,49,75,59,42,47
2025-07-07,26,65,61,56,62
2025-07-14,61,25,58,71,56
2025-07-21,20,21,26,77,31
2025-07-28,45,58,49,74,34
2025-08-04,69,28,24,62,71
2025-08-11,49,32,44,47,55
2025-08-18,41,22,30,66,21
2025-08-25,76,34,67,37,26
2025-09-01,41,71,56,20,50
2025-09-08,58,37,63,74,67
2025-09-15,36,53,37,65,39
2025-09-22,45,31,31,53,63
2025-09-29,45,40,38,71,51
2025-10-06,43,74,23,78,60
2025-10-13,70,37,30,63,35
2025-10-20,37,66,39,55,59
2025-10-27,63,73,48,57,42
2025-11-03,74,56,75,44,23
2025-11-10,69,40,58,54,50
2025-11-17,25,79,78,36,73
2025-11-24,22,52,37,60,21
2025-12-01,65,22,60,78,64
2025-12-08,74,75,54,65,27
2025-12-15,53,79,50,51,46
2025-12-22,37,42,42,65,75
2025-12-29,24,45,31,76,40
